date,du,rate
2025-11-03,126,2.8249
2025-11-03,252,3.6285
2025-11-03,378,3.9718
2025-11-03,504,4.1774
2025-11-03,630,4.3419
2025-11-03,756,4.4886
2025-11-03,882,4.6193
2025-11-03,1008,4.7333
2025-11-03,1134,4.8299
2025-11-03,1260,4.9097
2025-11-03,1386,4.9749
2025-11-03,1512,5.027
2025-11-03,1638,5.0682
2025-11-03,1764,5.1004
2025-11-03,1890,5.1255
2025-11-03,2016,5.1447
2025-11-03,2142,5.1593
2025-11-03,2268,5.1702
2025-11-03,2394,5.1783
2025-11-03,2520,5.1842
2025-11-03,2646,5.1883
2025-11-04,126,2.8249
2025-11-04,252,3.6285
2025-11-04,378,3.9718
2025-11-04,504,4.1774
2025-11-04,630,4.3419
2025-11-04,756,4.4886
2025-11-04,882,4.6193
2025-11-04,1008,4.7333
2025-11-04,1134,4.8299
2025-11-04,1260,4.9097
2025-11-04,1386,4.9749
2025-11-04,1512,5.027
2025-11-04,1638,5.0682
2025-11-04,1764,5.1004
2025-11-04,1890,5.1255
2025-11-04,2016,5.1447
2025-11-04,2142,5.1593
2025-11-04,2268,5.1702
2025-11-04,2394,5.1783
2025-11-04,2520,5.1842
2025-11-04,2646,5.1883
2025-11-05,126,2.8249
2025-11-05,252,3.6285
2025-11-05,378,3.9718
2025-11-05,504,4.1774
2025-11-05,630,4.3419
2025-11-05,756,4.4886
2025-11-05,882,4.6193
2025-11-05,1008,4.7333
2025-11-05,1134,4.8299
2025-11-05,1260,4.9097
2025-11-05,1386,4.9749
2025-11-05,1512,5.027
2025-11-05,1638,5.0682
2025-11-05,1764,5.1004
2025-11-05,1890,5.1255
2025-11-05,2016,5.1447
2025-11-05,2142,5.1593
2025-11-05,2268,5.1702
2025-11-05,2394,5.1783
2025-11-05,2520,5.1842
2025-11-05,2646,5.1883
2025-11-06,126,2.8249
2025-11-06,252,3.6285
2025-11-06,378,3.9718
2025-11-06,504,4.1774
2025-11-06,630,4.3419
2025-11-06,756,4.4886
2025-11-06,882,4.6193
2025-11-06,1008,4.7333
2025-11-06,1134,4.8299
2025-11-06,1260,4.9097
2025-11-06,1386,4.9749
2025-11-06,1512,5.027
2025-11-06,1638,5.0682
2025-11-06,1764,5.1004
2025-11-06,1890,5.1255
2025-11-06,2016,5.1447
2025-11-06,2142,5.1593
2025-11-06,2268,5.1702
2025-11-06,2394,5.1783
2025-11-06,2520,5.1842
2025-11-06,2646,5.1883
2025-11-07,126,2.8249
2025-11-07,252,3.6285
2025-11-07,378,3.9718
2025-11-07,504,4.1774
2025-11-07,630,4.3419
2025-11-07,756,4.4886
2025-11-07,882,4.6193
2025-11-07,1008,4.7333
2025-11-07,1134,4.8299
2025-11-07,1260,4.9097
2025-11-07,1386,4.9749
2025-11-07,1512,5.027
2025-11-07,1638,5.0682
2025-11-07,1764,5.1004
2025-11-07,1890,5.1255
2025-11-07,2016,5.1447
2025-11-07,2142,5.1593
2025-11-07,2268,5.1702
2025-11-07,2394,5.1783
2025-11-07,2520,5.1842
2025-11-07,2646,5.1883
