date,du,rate
2024-04-04,21,10.3884
2024-04-04,42,10.2722
2024-04-04,63,10.1728
2024-04-04,126,9.9601
2024-04-04,252,9.8093
2024-04-04,378,9.8692
2024-04-04,504,10.0252
2024-04-04,630,10.2143
2024-04-04,756,10.4037
2024-04-04,882,10.5774
2024-04-04,1008,10.7293
2024-04-04,1134,10.8583
2024-04-04,1260,10.9656
2024-04-04,1386,11.0539
2024-04-04,1512,11.126
2024-04-04,1638,11.1844
2024-04-04,1764,11.2316
2024-04-04,1890,11.2698
2024-04-04,2016,11.3007
2024-04-04,2142,11.3257
2024-04-04,2268,11.346
2024-04-04,2394,11.3625
2024-04-04,2520,11.376
2024-04-04,2646,11.3871
