date,du,rate
2024-04-04,126,6.9391
2024-04-04,252,5.9643
2024-04-04,378,5.6721
2024-04-04,504,5.6133
2024-04-04,630,5.628
2024-04-04,756,5.661
2024-04-04,882,5.695
2024-04-04,1008,5.725
2024-04-04,1134,5.7506
2024-04-04,1260,5.7724
2024-04-04,1386,5.7909
2024-04-04,1512,5.807
2024-04-04,1638,5.8211
2024-04-04,1764,5.8336
2024-04-04,1890,5.8447
2024-04-04,2016,5.8547
2024-04-04,2142,5.8638
2024-04-04,2268,5.8721
2024-04-04,2394,5.8797
2024-04-04,2520,5.8866
2024-04-04,2646,5.893
2024-04-04,2772,5.8989
2024-04-04,2898,5.9044
2024-04-04,3024,5.9095
2024-04-04,3150,5.9142
2024-04-04,3276,5.9187
2024-04-04,3402,5.9228
2024-04-04,3528,5.9267
2024-04-04,3654,5.9303
2024-04-04,3780,5.9337
2024-04-04,3906,5.9369
2024-04-04,4032,5.9399
2024-04-04,4158,5.9427
2024-04-04,4284,5.9454
2024-04-04,4410,5.948
2024-04-04,4536,5.9504
2024-04-04,4662,5.9527
2024-04-04,4788,5.9548
2024-04-04,4914,5.9569
2024-04-04,5040,5.9588
2024-04-04,5166,5.9607
2024-04-04,5292,5.9625
2024-04-04,5418,5.9642
2024-04-04,5544,5.9658
2024-04-04,5670,5.9674
2024-04-04,5796,5.9688
2024-04-04,5922,5.9703
2024-04-04,6048,5.9716
2024-04-04,6174,5.9729
2024-04-04,6300,5.9742
2024-04-04,6426,5.9754
2024-04-04,6552,5.9766
2024-04-04,6678,5.9777
2024-04-04,6804,5.9787
2024-04-04,6930,5.9798
2024-04-04,7056,5.9808
2024-04-04,7182,5.9818
2024-04-04,7308,5.9827
2024-04-04,7434,5.9836
2024-04-04,7560,5.9845
2024-04-04,7686,5.9853
2024-04-04,7812,5.9861
2024-04-04,7938,5.9869
2024-04-04,8064,5.9877
2024-04-04,8190,5.9884
2024-04-04,8316,5.9891
2024-04-04,8442,5.9898
2024-04-04,8568,5.9905
2024-04-04,8694,5.9912
2024-04-04,8820,5.9918
2024-04-04,8946,5.9924
2024-04-04,9072,5.993
